complaint_text,category
clerk behavior keeps crashing on the government portal.,Administration
The parade is very nice for everyone.,General
Urgent: street lights needs urgent repair at the intersection.,Infrastructure
Urgent: illegal dumping is attracting rats near the park.,Sanitation
street lights is dangerous for cars on the main highway.,Infrastructure
The parade is a great event for everyone.,General
Community festival is helpful in the park.,General
birth certificate is stuck for months in the records office.,Administration
illegal racing is a threat to life outside the mall.,Public Safety
tax documents keeps crashing on the government portal.,Administration
The parade is interesting this morning.,General
permit application is full of errors in the records office.,Administration
Report: gang fighting is a threat to life near Birendra Chowk.,Public Safety
gunshots fired is extremely scary in the community park.,Public Safety
Urgent: dead animal carcass is rotting and stinking behind the school.,Sanitation
Report: street lights is breaking apart near the square.,Administration
insulin stock is dangerously low in the medical ward.,Healthcare
blood pressure is dangerously low near the health clinic.,Healthcare
Report: heart rate is critical condition at the ER.,Healthcare
passport processing is full of errors at town hall.,Administration
Urgent: water pipe leak is crumbling at the intersection.,Infrastructure
blood pressure is dangerously low in the medical ward.,Healthcare
permit application keeps crashing in the records office.,Administration
Website layout is interesting today.,General
suspicious loitering is extremely scary at the train station.,Public Safety
Attention: tax documents requested a bribe in the records office.,Administration
Report: recycling bin is rotting and stinking near the park.,Sanitation
Report: The parade is very nice this morning.,General
Report: theft in progress is out of control near Birendra Chowk.,Public Safety
ambulance response is critical condition near the health clinic.,Healthcare
Report: traffic signal is breaking apart in the downtown area.,Infrastructure
ambulance response needs a doctor immediately in the medical ward.,Healthcare
tax documents is full of errors at town hall.,Administration
illegal dumping is attracting rats in the residential alley.,Sanitation
bridge support needs urgent repair near the square.,Infrastructure
medical emergency is critical condition at the city hospital.,Healthcare
birth certificate requested a bribe in the records office.,Administration
Urgent: dead animal carcass is overflowing onto street behind the school.,Sanitation
clerk behavior is full of errors in the records office.,Administration
Attention: The parade is helpful for everyone.,General
violent kidnapping reported last night near Birendra Chowk.,Public Safety
City gardens looks beautiful today.,General
Community festival is very nice for everyone.,General
medical emergency is dangerously low near the health clinic.,Healthcare
heart rate is dangerously low at the city hospital.,Healthcare
insulin stock is dropping fast near the health clinic.,Healthcare
Attention: suspicious loitering is a threat to life at the train station.,Public Safety
Report: medical emergency is out of stock in the medical ward.,Healthcare
theft in progress reported last night in the community park.,Public Safety
Report: clinic hygiene is dropping fast near the health clinic.,Healthcare
blood pressure is dangerously low at the city hospital.,Healthcare
Attention: medical emergency is dropping fast in the medical ward.,Healthcare
Report: insulin stock is critical condition in the medical ward.,Healthcare
Community festival is a great event today.,General
traffic signal is crumbling on the main highway.,Infrastructure
bridge support is dangerous for cars at the intersection.,Infrastructure
passport processing is stuck for months in the records office.,Administration
ambulance response is critical condition in the medical ward.,Healthcare
illegal dumping is attracting rats outside my house.,Sanitation
Report: The parade is a great event for everyone.,General
heart rate is dangerously low in the medical ward.,Healthcare
clerk behavior is being delayed at town hall.,Administration
Attention: tax documents keeps crashing at town hall.,Administration
Attention: The parade is interesting this morning.,General
Urgent: gunshots fired is extremely scary near Birendra Chowk.,Public Safety
traffic signal is breaking apart near the square.,Infrastructure
street lights is crumbling at the intersection.,Infrastructure
Report: City gardens is helpful for everyone.,General
bridge support needs urgent repair near the square.,Infrastructure
The weather is interesting for everyone.,General
Urgent: pothole on road is dangerous for cars near the square.,Infrastructure
Report: pothole on road needs urgent repair in the downtown area.,Infrastructure
Urgent: pothole on road is gushing water in the downtown area.,Infrastructure
dead animal carcass is attracting rats behind the school.,Sanitation
Report: blood pressure is dangerously low near the health clinic.,Healthcare
The weather is a great event this morning.,General
trash accumulation is attracting rats near the park.,Sanitation
Website layout is very nice for everyone.,General
Report: permit application keeps crashing in the records office.,Administration
passport processing requested a bribe in the records office.,Administration
street lights is crumbling at the intersection.,Infrastructure
garbage pile is leaking into drains near the park.,Sanitation
City gardens is very nice for everyone.,General
birth certificate is stuck for months on the government portal.,Administration
Attention: The parade is helpful in the park.,General
clinic hygiene is dangerously low at the city hospital.,Healthcare
Attention: violent kidnapping reported last night outside the mall.,Public Safety
City gardens is very nice for everyone.,General
clinic hygiene is out of stock near the health clinic.,Healthcare
Website layout is helpful in the park.,General
Report: Website layout is interesting for everyone.,General
trash accumulation is attracting rats in the residential alley.,Sanitation
dead animal carcass is leaking into drains behind the school.,Sanitation
blood pressure is dropping fast at the city hospital.,Healthcare
Urgent: clinic hygiene needs a doctor immediately at the ER.,Healthcare
Attention: The weather is a great event today.,General
permit application is full of errors on the government portal.,Public Safety
Attention: traffic signal is dangerous for cars at the intersection.,Infrastructure
garbage pile is overflowing onto street outside my house.,Sanitation
pothole on road is gushing water at the intersection.,Infrastructure
water pipe leak is crumbling in the downtown area.,Healthcare
permit application keeps crashing in the records office.,Administration
violent kidnapping reported last night outside the mall.,Public Safety
Attention: water pipe leak is crumbling on the main highway.,Infrastructure
Attention: medical emergency is dropping fast at the ER.,Healthcare
tax documents requested a bribe at town hall.,Administration
Attention: birth certificate is full of errors on the government portal.,Administration
Report: City gardens is a great event this morning.,General
Urgent: blood pressure is dangerously low near the health clinic.,Healthcare
garbage pile is overflowing onto street behind the school.,Sanitation
medical emergency is critical condition at the ER.,Healthcare
passport processing keeps crashing at city hall.,Administration
theft in progress reported last night in the community park.,Public Safety
clinic hygiene is dangerously low at the city hospital.,Healthcare
birth certificate is being delayed at town hall.,Healthcare
illegal racing is a threat to life outside the mall.,Public Safety
ambulance response is dangerously low at the city hospital.,Healthcare
The parade looks beautiful for everyone.,General
water pipe leak is crumbling in the downtown area.,Infrastructure
Report: Community festival looks beautiful this morning.,General
permit application is full of errors in the records office.,Administration
The parade is a great event for everyone.,General
pothole on road is dangerous for cars near the square.,Infrastructure
Community festival is helpful today.,General
traffic signal is dangerous for cars on the main highway.,Infrastructure
trash accumulation is attracting rats behind the school.,Sanitation
Attention: heart rate needs a doctor immediately at the city hospital.,Healthcare
raw sewage is leaking into drains in the residential alley.,Sanitation
Attention: clinic hygiene is dropping fast in the medical ward.,Public Safety
permit application is being delayed in the records office.,Administration
street lights is crumbling at the intersection.,Infrastructure
insulin stock needs a doctor immediately in the medical ward.,Healthcare
trash accumulation is overflowing onto street outside my house.,Sanitation
The weather is interesting today.,General
pothole on road is gushing water on the main highway.,Infrastructure
cracked sidewalk is crumbling in the downtown area.,Infrastructure
Urgent: tax documents is full of errors at town hall.,Administration
Attention: theft in progress is a threat to life near Birendra Chowk.,Public Safety
suspicious loitering is extremely scary outside the mall.,Public Safety
ambulance response needs a doctor immediately at the city hospital.,Healthcare
bridge support is breaking apart in the downtown area.,Infrastructure
street lights is breaking apart at the intersection.,Infrastructure
tax documents keeps crashing on the government portal.,Administration
Urgent: Website layout is interesting for everyone.,General
heart rate is critical condition in the medical ward.,Healthcare
Report: water pipe leak is dangerous for cars near the square.,Infrastructure
illegal racing happened just now at the train station.,Public Safety
Urgent: ambulance response is dangerously low in the medical ward.,Healthcare
Attention: Website layout is helpful today.,General
water pipe leak is crumbling near the square.,Infrastructure
recycling bin is leaking into drains in the residential alley.,Sanitation
gang fighting is extremely scary at the train station.,Public Safety
Attention: theft in progress is a threat to life near Birendra Chowk.,Public Safety
illegal dumping is leaking into drains near the park.,Sanitation
Report: gang fighting reported last night in the community park.,Public Safety
Urgent: raw sewage is overflowing onto street near the park.,Sanitation
trash accumulation is overflowing onto street near the park.,Sanitation
illegal dumping is rotting and stinking in the residential alley.,Sanitation
Attention: trash accumulation is overflowing onto street outside my house.,Sanitation
tax documents is full of errors on the government portal.,Administration
bridge support needs urgent repair in the downtown area.,Infrastructure
theft in progress is a threat to life near Birendra Chowk.,Public Safety
cracked sidewalk is dangerous for cars at the intersection.,Infrastructure
Attention: ambulance response is dropping fast at the city hospital.,Healthcare
gunshots fired is a threat to life outside the mall.,Public Safety
raw sewage is attracting rats in the residential alley.,Sanitation
permit application is being delayed in the records office.,Administration
Urgent: dead animal carcass is overflowing onto street near the park.,Sanitation
birth certificate is stuck for months at town hall.,Administration
trash accumulation is overflowing onto street outside my house.,Sanitation
Report: gunshots fired reported last night at the train station.,Public Safety
Attention: City gardens is a great event today.,General
birth certificate keeps crashing at city hall.,Administration
Urgent: birth certificate is stuck for months at town hall.,Administration
dead animal carcass is rotting and stinking outside my house.,Sanitation
bridge support is crumbling on the main highway.,Infrastructure
bridge support is crumbling near the square.,Infrastructure
suspicious loitering is a threat to life in the community park.,Public Safety
illegal dumping is leaking into drains outside my house.,Sanitation
Report: official website is stuck for months in the records office.,Administration
blood pressure is dropping fast near the health clinic.,Healthcare
birth certificate is being delayed on the government portal.,Administration
illegal racing happened just now in the community park.,Public Safety
theft in progress is a threat to life near Birendra Chowk.,Public Safety
water pipe leak needs urgent repair in the downtown area.,Infrastructure
insulin stock needs a doctor immediately at the ER.,Healthcare
Urgent: raw sewage is overflowing onto street outside my house.,Sanitation
gunshots fired is a threat to life in the community park.,Public Safety
illegal racing is a threat to life near Birendra Chowk.,Public Safety
Attention: insulin stock needs a doctor immediately at the city hospital.,Healthcare
Report: City gardens is very nice for everyone.,General
Community festival is a great event in the park.,General
blood pressure needs a doctor immediately near the health clinic.,Healthcare
gunshots fired is out of control outside the mall.,Public Safety
Attention: illegal racing is extremely scary near Birendra Chowk.,Public Safety
medical emergency is critical condition at the city hospital.,Healthcare
City gardens is helpful for everyone.,General
garbage pile is attracting rats outside my house.,Sanitation
passport processing is full of errors on the government portal.,Administration
heart rate is out of stock at the ER.,Healthcare
Report: dead animal carcass is overflowing onto street near the park.,Sanitation
insulin stock is dangerously low at the city hospital.,Healthcare
illegal dumping is rotting and stinking outside my house.,Sanitation
Report: heart rate is dangerously low near the health clinic.,Healthcare
City gardens is a great event in the park.,General
Attention: clinic hygiene is critical condition at the ER.,Healthcare
Report: bridge support is crumbling in the downtown area.,Infrastructure
Urgent: passport processing keeps crashing at town hall.,Administration
theft in progress is out of control near Birendra Chowk.,Public Safety
Attention: gang fighting is extremely scary outside the mall.,Public Safety
suspicious loitering is out of control near Birendra Chowk.,Public Safety
Urgent: passport processing is full of errors in the records office.,Administration
Community festival is interesting in the park.,General
illegal racing is out of control outside the mall.,Public Safety
Attention: The parade is interesting this morning.,General
The weather looks beautiful this morning.,General
theft in progress is out of control near Birendra Chowk.,Public Safety
Report: suspicious loitering reported last night near Birendra Chowk.,Public Safety
Urgent: medical emergency is critical condition in the medical ward.,Healthcare
Urgent: birth certificate requested a bribe on the government portal.,Administration
bridge support is crumbling near the square.,Infrastructure
insulin stock is out of stock near the health clinic.,Healthcare
gunshots fired reported last night outside the mall.,Public Safety
trash accumulation is leaking into drains near the park.,Sanitation
medical emergency is critical condition in the medical ward.,Healthcare
suspicious loitering happened just now outside the mall.,Public Safety
street lights is crumbling on the main highway.,Infrastructure
Urgent: traffic signal is breaking apart on the main highway.,Infrastructure
bridge support is gushing water on the main highway.,Infrastructure
passport processing is being delayed at town hall.,Administration
Attention: ambulance response is dropping fast at the city hospital.,Healthcare
Attention: The weather is interesting today.,General
traffic signal is dangerous for cars in the downtown area.,Infrastructure
recycling bin is overflowing onto street near the park.,Sanitation
traffic signal is dangerous for cars near the square.,Infrastructure
passport processing keeps crashing at town hall.,Administration
tax documents is stuck for months on the government portal.,Administration
Report: tax documents is being delayed on the government portal.,Administration
City gardens is very nice for everyone.,General
clerk behavior is full of errors at town hall.,Administration
traffic signal is gushing water near the square.,Infrastructure
official website requested a bribe at city hall.,Administration
traffic signal is dangerous for cars on the main highway.,Infrastructure
Urgent: bridge support is crumbling at the intersection.,Infrastructure
pothole on road is dangerous for cars in the downtown area.,Infrastructure
passport processing keeps crashing at city hall.,Administration
The weather looks beautiful in the park.,General
Urgent: birth certificate is stuck for months on the government portal.,Administration
Report: clerk behavior is stuck for months at town hall.,Administration
Attention: garbage pile is overflowing onto street near the park.,Sanitation
Report: violent kidnapping happened just now in the community park.,Public Safety
tax documents is full of errors at town hall.,Administration
birth certificate requested a bribe in the records office.,Administration
Urgent: medical emergency is critical condition at the city hospital.,Healthcare
Attention: Community festival is helpful for everyone.,General
Report: bridge support is crumbling near the square.,Infrastructure
raw sewage is leaking into drains near the park.,Sanitation
City gardens looks beautiful today.,General
trash accumulation is leaking into drains near the park.,Sanitation
raw sewage is rotting and stinking near the park.,Sanitation
violent kidnapping is extremely scary in the community park.,Public Safety
street lights needs urgent repair near the square.,Infrastructure
passport processing is being delayed at town hall.,Administration
medical emergency is dropping fast near the health clinic.,Healthcare
Urgent: The parade is very nice today.,General
Attention: clinic hygiene is dangerously low at the ER.,Healthcare
clerk behavior keeps crashing at city hall.,Administration
Attention: traffic signal is dangerous for cars on the main highway.,Infrastructure
raw sewage is attracting rats near the park.,Sanitation
blood pressure is out of stock in the medical ward.,Healthcare
The weather is very nice this morning.,General
cracked sidewalk needs urgent repair at the intersection.,Infrastructure
illegal racing is extremely scary near Birendra Chowk.,Public Safety
clinic hygiene is out of stock at the city hospital.,Healthcare
trash accumulation is leaking into drains outside my house.,Sanitation
garbage pile is rotting and stinking in the residential alley.,Sanitation
illegal dumping is rotting and stinking behind the school.,Sanitation
clerk behavior is full of errors at city hall.,Administration
clerk behavior requested a bribe at town hall.,Administration
bridge support is breaking apart on the main highway.,Infrastructure
trash accumulation is leaking into drains behind the school.,Sanitation
traffic signal needs urgent repair near the square.,Infrastructure
Attention: suspicious loitering is out of control in the community park.,Public Safety
Urgent: illegal racing is out of control outside the mall.,Public Safety
The parade looks beautiful today.,General
water pipe leak is breaking apart on the main highway.,Infrastructure
insulin stock is out of stock at the city hospital.,Healthcare
Attention: birth certificate is stuck for months at city hall.,Administration
cracked sidewalk is gushing water near the square.,Infrastructure
Urgent: The parade is a great event in the park.,General
Urgent: birth certificate is stuck for months on the government portal.,Administration
raw sewage is attracting rats outside my house.,Sanitation
gang fighting is a threat to life at the train station.,Public Safety
The weather is interesting this morning.,General
heart rate needs a doctor immediately at the city hospital.,Healthcare
Attention: street lights needs urgent repair at the intersection.,Infrastructure
Report: The parade is a great event this morning.,General
Attention: The weather is helpful this morning.,General
water pipe leak is dangerous for cars in the downtown area.,Infrastructure
Report: garbage pile is leaking into drains outside my house.,Sanitation
raw sewage is leaking into drains in the residential alley.,Sanitation
permit application keeps crashing at city hall.,Administration
cracked sidewalk is gushing water at the intersection.,Infrastructure
The weather is very nice today.,General
Report: suspicious loitering happened just now near Birendra Chowk.,Public Safety
Attention: raw sewage is rotting and stinking in the residential alley.,Sanitation
The weather is a great event this morning.,General
bridge support needs urgent repair near the square.,Infrastructure
recycling bin is attracting rats in the residential alley.,Sanitation
permit application requested a bribe at city hall.,Administration
garbage pile is leaking into drains outside my house.,Sanitation
Attention: illegal dumping is leaking into drains outside my house.,Sanitation
Website layout looks beautiful this morning.,General
dead animal carcass is leaking into drains in the residential alley.,Sanitation
cracked sidewalk is gushing water at the intersection.,Infrastructure
The weather is a great event today.,General
garbage pile is rotting and stinking near the park.,Sanitation
permit application keeps crashing at city hall.,Administration
The parade is a great event today.,General
water pipe leak is crumbling at the intersection.,Infrastructure
heart rate is dangerously low at the ER.,Healthcare
Report: Website layout is a great event for everyone.,General
Community festival is interesting for everyone.,General
suspicious loitering is out of control in the community park.,Public Safety
Attention: garbage pile is rotting and stinking near the park.,Sanitation
Urgent: cracked sidewalk is dangerous for cars at the intersection.,Infrastructure
Urgent: Community festival is interesting this morning.,General
bridge support needs urgent repair at the intersection.,Infrastructure
Urgent: permit application is full of errors at city hall.,Administration
tax documents keeps crashing at city hall.,Administration
recycling bin is overflowing onto street near the park.,Sanitation
Attention: illegal racing reported last night at the train station.,Public Safety
Report: illegal dumping is overflowing onto street behind the school.,Sanitation
ambulance response is dangerously low in the medical ward.,Healthcare
birth certificate is being delayed at town hall.,Administration
Attention: theft in progress is extremely scary in the community park.,Public Safety
recycling bin is leaking into drains near the park.,Sanitation
Website layout is helpful today.,General
insulin stock is critical condition at the ER.,Healthcare
dead animal carcass is attracting rats in the residential alley.,Sanitation
suspicious loitering reported last night outside the mall.,Public Safety
Attention: trash accumulation is rotting and stinking outside my house.,Sanitation
The weather looks beautiful in the park.,General
violent kidnapping is a threat to life at the train station.,Public Safety
The parade looks beautiful this morning.,General
theft in progress happened just now at the train station.,Public Safety
insulin stock is dangerously low in the medical ward.,Healthcare
cracked sidewalk is dangerous for cars near the square.,Infrastructure
street lights is breaking apart near the square.,Infrastructure
Attention: cracked sidewalk is gushing water on the main highway.,Infrastructure
Attention: suspicious loitering is a threat to life outside the mall.,Public Safety
clinic hygiene needs a doctor immediately in the medical ward.,Healthcare
clinic hygiene is dangerously low at the ER.,Healthcare
dead animal carcass is overflowing onto street near the park.,Sanitation
ambulance response is critical condition near the health clinic.,Healthcare
City gardens is very nice this morning.,General
Community festival looks beautiful for everyone.,General
insulin stock is critical condition near the health clinic.,Healthcare
gang fighting is out of control outside the mall.,Public Safety
Attention: Community festival looks beautiful in the park.,General
Attention: cracked sidewalk is crumbling at the intersection.,Infrastructure
water pipe leak needs urgent repair on the main highway.,Infrastructure
Website layout looks beautiful this morning.,General
Urgent: violent kidnapping is out of control near Birendra Chowk.,Public Safety
passport processing is stuck for months on the government portal.,Administration
garbage pile is leaking into drains in the residential alley.,Sanitation
Attention: garbage pile is rotting and stinking in the residential alley.,Sanitation
Attention: City gardens is helpful for everyone.,General
The parade is interesting in the park.,General
